IBT,stimulus_number
890.0,62
900.0,63
890.0,63
890.0,63
840.0000000000001,65
880.0,65
860.0000000000001,65
860.0000000000001,65
860.0000000000001,65
850.0000000000001,65
830.0000000000001,65
810.0,65
820.0000000000001,65
860.0000000000001,65
830.0000000000001,65
840.0000000000001,65
860.0000000000001,65
860.0000000000001,65
870.0000000000001,65
850.0000000000001,65
880.0,65
920.0,65
900.0,65
900.0,65
920.0,65
900.0,65
900.0,65
870.0000000000001,65
870.0000000000001,65
850.0000000000001,65
870.0000000000001,65
850.0000000000001,65
860.0000000000001,67
860.0000000000001,67
850.0000000000001,67
850.0000000000001,67
860.0000000000001,67
860.0000000000001,67
870.0000000000001,67
860.0000000000001,67
860.0000000000001,67
860.0000000000001,69
860.0000000000001,69
850.0000000000001,69
880.0,69
900.0,71
880.0,71
880.0,71
900.0,71
880.0,71
860.0000000000001,71
870.0000000000001,71
870.0000000000001,71
860.0000000000001,71
850.0000000000001,71
870.0000000000001,71
880.0,71
870.0000000000001,71
830.0000000000001,71
870.0000000000001,71
850.0000000000001,71
830.0000000000001,71
860.0000000000001,71
840.0000000000001,71
840.0000000000001,71
870.0000000000001,71
810.0,71
820.0000000000001,71
830.0000000000001,71
850.0000000000001,71
840.0000000000001,71
870.0000000000001,71
930.0,71
960.0,71
950.0,71
950.0,71
940.0,71
930.0,71
920.0,71
910.0,71
850.0000000000001,73
900.0,73
870.0000000000001,73
860.0000000000001,73
850.0000000000001,73
870.0000000000001,73
880.0,73
870.0000000000001,73
840.0000000000001,73
880.0,73
870.0000000000001,73
870.0000000000001,73
880.0,73
860.0000000000001,75
910.0,75
880.0,75
880.0,76
890.0,77
860.0000000000001,77
890.0,77
890.0,77
870.0000000000001,77
890.0,77
870.0000000000001,77
870.0000000000001,77
880.0,77
830.0000000000001,77
830.0000000000001,77
800.0,77
800.0,77
800.0,77
830.0000000000001,77
800.0,77
800.0,77
830.0000000000001,77
840.0000000000001,77
870.0000000000001,77
860.0000000000001,77
890.0,77
890.0,77
880.0,77
870.0000000000001,78
880.0,79
880.0,79
870.0000000000001,79
860.0000000000001,79
880.0,79
890.0,79
860.0000000000001,79
860.0000000000001,79
870.0000000000001,79
870.0000000000001,79
850.0000000000001,81
880.0,81
880.0,81
840.0000000000001,83
840.0000000000001,83
870.0000000000001,83
860.0000000000001,83
830.0000000000001,83
870.0000000000001,83
900.0,83
910.0,83
890.0,83
940.0,83
860.0000000000001,83
860.0000000000001,83
860.0000000000001,83
870.0000000000001,83
850.0000000000001,83
850.0000000000001,83
860.0000000000001,83
870.0000000000001,83
890.0,83
870.0000000000001,83
890.0,83
900.0,83
880.0,83
870.0000000000001,83
880.0,83
860.0000000000001,83
860.0000000000001,83
870.0000000000001,83
820.0000000000001,83
840.0000000000001,83
850.0000000000001,83
890.0,83
880.0,83
880.0,83
910.0,83
900.0,83
900.0,83
890.0,83
890.0,83
900.0,83
840.0000000000001,83
880.0,83
870.0000000000001,83
880.0,83
840.0000000000001,83
880.0,83
900.0,83
900.0,83
860.0000000000001,83
900.0,83
890.0,83
860.0000000000001,83
870.0000000000001,83
870.0000000000001,83
870.0000000000001,83
880.0,83
840.0000000000001,83
900.0,83
900.0,83
890.0,83
870.0000000000001,83
880.0,83
860.0000000000001,83
890.0,83
880.0,83
860.0000000000001,83
860.0000000000001,83
880.0,83
850.0000000000001,83
860.0000000000001,83
850.0000000000001,83
850.0000000000001,83
850.0000000000001,85
840.0000000000001,85
880.0,85
850.0000000000001,85
890.0,85
850.0000000000001,85
890.0,85
870.0000000000001,85
910.0,85
910.0,85
900.0,85
910.0,87
910.0,87
880.0,87
860.0000000000001,87
870.0000000000001,89
850.0000000000001,89
870.0000000000001,89
850.0000000000001,89
860.0000000000001,89
